,ID1_G,ID2_G,ID_T_G,ID_R_G,DATE_G,R4,R5,R2,R8,R3,R9,R10,R1,R12,R6,R7,R13,R14,R16,R17,R11,R15,DIFF_pts
0,19942,32203,13204,5,2016-05-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14609,20648,12992,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13576,1718,12993,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2904,9842,12993,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4003,1181,12993,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24127,33310,13226,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18282,13683,13226,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12195,9887,13228,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,26890,22906,13228,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,14465,24009,13228,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13398,20285,13228,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1092,6691,12814,9,2016-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1075,674,12814,9,2016-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,9043,10202,12991,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,18017,728,12991,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10828,14814,12992,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,616,6962,12992,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3996,31392,12992,5,2016-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,41921,28053,12993,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,875,6080,12993,4,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
