,PL1_1,PL1_2,PL1_3,PL2_2,PL2_3,PL2_1,DIFF_cls,DIFF_pts,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
19156,0.0,1.0,0.0,0.0,0.0,1.0,-1.0161555479942959,0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53260,1.0,1.0,0.0,0.0,0.0,0.0,-0.12944956976319852,1.4630247267433885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28534,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,0.9513264233011196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23480,1.0,1.0,1.0,0.0,0.0,0.0,1.0778048641113345,-0.4558439111651198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21561,1.0,0.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,1.0,1.0,0.0,0.0,0.0,0.0,-0.1685834834722753,1.079250999161687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36918,1.0,1.0,1.0,0.0,0.0,0.0,0.4141365740861694,1.9747230301856573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34285,1.0,1.0,1.0,0.0,0.0,0.0,6.84603652862731,1.718873878464523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71506,0.0,0.0,0.0,1.0,0.0,1.0,0.2350575286767345,-1.4630247267433885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,1.0,1.0,0.0,0.0,0.0,0.0,-0.016872557723388602,0.3117035439982835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.0,1.0,1.0,0.0,0.0,0.0,-0.23130496160874084,1.9747230301856573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52934,0.0,0.0,0.0,0.0,0.0,1.0,0.23720185271558802,0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40801,0.0,0.0,0.0,1.0,0.0,1.0,3.162595922721506,-0.3117035439982835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9756,1.0,0.0,0.0,0.0,0.0,0.0,-0.23666577170587463,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29031,1.0,0.0,0.0,0.0,0.0,0.0,-0.10425376230666963,0.9513264233011196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51933,1.0,1.0,0.0,1.0,0.0,0.0,-0.35353143182339164,0.9513264233011196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58748,1.0,1.0,0.0,0.0,0.0,0.0,-0.11980011158835768,-0.4558439111651198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30968,1.0,1.0,0.0,0.0,0.0,0.0,-0.7641694852638411,-0.9675422146073887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13787,1.0,1.0,0.0,0.0,0.0,0.0,-0.24845955391956903,-0.07207018358341817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5858,1.0,1.0,0.0,0.0,0.0,0.0,0.21632268150193196,2.3584967577673592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39231,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28787,0.0,0.0,0.0,0.0,0.0,1.0,0.2275523945407472,-1.079250999161687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28306,0.0,0.0,0.0,0.0,0.0,1.0,0.2677584702692507,-1.079250999161687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59754,0.0,0.0,0.0,0.0,0.0,1.0,0.04046012215077735,-0.8234018474405523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,0.0,0.0,0.0,0.0,0.0,1.0,0.1080063293746633,0.7116930628862542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35247,1.0,1.0,0.0,1.0,0.0,0.0,-0.34441805465826414,-1.863014245631359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11848,1.0,1.0,0.0,0.0,0.0,0.0,-0.07691363081128723,0.18377896813771627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64110,1.0,0.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16038,1.0,1.0,0.0,1.0,0.0,0.0,-0.2623976601721169,-0.7116930628862542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40110,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67790,1.0,0.0,0.0,0.0,0.0,0.0,-0.16161443034600137,0.6954772715799851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35390,1.0,0.0,0.0,0.0,0.0,0.0,-0.23720185271558802,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
